team,fifa_points
Jordan,1374.13
Bosnia and Herzegovina,1332.3
Paraguay,1427.11
Ghana,1381.25
Uzbekistan,1397.41
Congo DR,1400.93
Iraq,1433.07
South Africa,1416.66
Saudi Arabia,1431.3
Curacao,1272.71
Haiti,1274.46
Portugal,1747.04
Australia,1571.29
Korea Republic,1572.87
IR Iran,1611.16
Switzerland,1617.24
Senegal,1623.34
Japan,1628.81
Germany,1646.78
Mexico,1652.33
Uruguay,1663.44
Colombia,1669.44
USA,1676.52
Croatia,1728.3
Spain,1729.92
Netherlands,1746.66
England,1787.88
Brazil,1791.85
Belgium,1797.98
France,1837.47
Morocco,1669.44
Austria,1560.03
Canada,1461.74
Norway,1466.48
Algeria,1474.13
Panama,1482.1
Turkey,1493.38
Tunisia,1494.06
Scotland,1497.18
Côte d'Ivoire,1499.69
Egypt,1502.34
Qatar,1504.06
Czechia,1506.23
Ecuador,1517.54
Sweden,1522.19
New Zealand,1197.68
Argentina,1860.14
