,equipe_nationale,moyenne_equipe
40,Spain,83.56
17,France,83.08695652173913
33,Portugal,82.07692307692308
16,England,81.46153846153847
18,Germany,81.46153846153847
1,Argentina,81.24
28,Netherlands,80.76923076923077
6,Brazil,80.5909090909091
4,Belgium,78.72
11,Croatia,78.1304347826087
46,Uruguay,77.8
44,Turkey,77.47826086956522
9,Colombia,77.08
23,Ivory Coast,76.30434782608695
8,Cape Verde Islands,76.25
37,Senegal,76.03571428571429
3,Austria,75.96
26,Mexico,75.84
15,Egypt,75.83333333333333
47,Uzbekistan,75.5
41,Sweden,75.4
42,Switzerland,75.32
30,Norway,75.26923076923077
24,Japan,75.19047619047619
14,Ecuador,75.13636363636364
13,Czechia,75.05
45,United States,75.03846153846153
27,Morocco,75.0
32,Paraguay,74.31818181818181
36,Scotland,74.2
10,Congo DR,73.9
31,Panama,73.57894736842105
21,Iran,73.0
0,Algeria,72.94444444444444
7,Canada,72.92
19,Ghana,72.34782608695652
5,Bosnia-Herzegovina,71.8125
34,Qatar,71.71428571428571
35,Saudi Arabia,71.21428571428571
43,Tunisia,70.8125
38,South Africa,69.85714285714286
2,Australia,69.04761904761905
29,New Zealand,68.04
20,Haiti,67.94117647058823
12,Curaçao,67.92857142857143
22,Iraq,67.84615384615384
39,South Korea,66.85714285714286
25,Jordan,63.2
